period start,symbol,price,change %,min,max,30d avg
2020-12-20T00:00:00+00:00,UNP,$246.00,23.82%,$190.67,$254.78,$246.71                                
2020-12-20T00:00:00+00:00,FE,$41.77,45.36%,$28.06,$41.77,$41.06                                     
2020-12-20T00:00:00+00:00,CTAS,$386.31,12.61%,$315.28,$458.45,$414.59                               
2020-12-20T00:00:00+00:00,CTVA,$47.47,21.43%,$37.50,$49.35,$47.05                                   
2020-12-20T00:00:00+00:00,EXC,$57.33,42.83%,$37.32,$57.76,$55.91                                    
2020-12-20T00:00:00+00:00,WYNN,$84.13,-25.24%,$76.06,$140.00,$85.66                                 
2020-12-20T00:00:00+00:00,ESS,$332.28,47.26%,$221.19,$356.63,$342.99                                
2020-12-20T00:00:00+00:00,SYY,$77.61,10.28%,$67.67,$84.74,$77.31                                    
2020-12-20T00:00:00+00:00,SIVB,$558.47,51.96%,$367.50,$755.03,$667.86                               
2020-12-20T00:00:00+00:00,EQR,$88.90,59.98%,$54.81,$92.25,$89.22                                    
2020-12-20T00:00:00+00:00,EVRG,$64.78,27.10%,$50.61,$68.66,$66.46                                   
2020-12-20T00:00:00+00:00,PH,$308.55,14.58%,$246.70,$334.00,$316.29                                 
2020-12-20T00:00:00+00:00,PXD,$215.56,103.47%,$103.60,$219.06,$195.03                               
2020-12-20T00:00:00+00:00,SLG,$71.99,32.28%,$54.42,$83.95,$76.85                                    
2020-12-20T00:00:00+00:00,NUE,$99.79,89.09%,$47.87,$125.13,$109.74                                  
2020-12-20T00:00:00+00:00,KIM,$24.21,73.14%,$13.89,$25.23,$24.17                                    
2020-12-20T00:00:00+00:00,BR,$154.16,4.76%,$137.12,$184.48,$170.75                                  
2020-12-20T00:00:00+00:00,SBUX,$97.21,-4.79%,$95.32,$126.06,$106.35                                 
2020-12-20T00:00:00+00:00,DISH,$30.99,4.10%,$28.88,$46.53,$33.13                                    
2020-12-20T00:00:00+00:00,AAP,$228.24,44.44%,$145.65,$241.65,$234.83                                
2020-12-20T00:00:00+00:00,JPM,$146.62,22.38%,$117.98,$170.76,$157.08                                
2020-12-20T00:00:00+00:00,SBAC,$317.76,16.09%,$234.89,$389.02,$350.82                               
2020-12-20T00:00:00+00:00,T,$25.21,-4.73%,$21.73,$30.81,$25.24                                      
2020-12-20T00:00:00+00:00,KMB,$138.95,7.09%,$124.04,$144.59,$141.35                                 
2020-12-20T00:00:00+00:00,HES,$91.04,69.90%,$51.41,$92.18,$82.28                                    
2020-12-20T00:00:00+00:00,YUM,$122.24,14.42%,$99.82,$138.86,$131.50                                 
2020-12-20T00:00:00+00:00,CCI,$180.78,21.51%,$142.48,$208.74,$193.76                                
2020-12-20T00:00:00+00:00,FAST,$55.83,15.00%,$43.49,$64.42,$60.63                                   
2020-12-20T00:00:00+00:00,PHM,$51.27,15.84%,$40.40,$61.84,$54.44                                    
2020-12-20T00:00:00+00:00,VIAC,$32.97,-3.25%,$28.68,$98.39,$32.25                                   
2020-12-20T00:00:00+00:00,NOV,$16.77,26.63%,$11.68,$17.87,$14.79                                    
2020-12-20T00:00:00+00:00,AIZ,$151.28,17.70%,$120.62,$170.41,$153.36                                
2020-12-20T00:00:00+00:00,CTSH,$84.44,6.27%,$66.06,$91.42,$86.55                                    
2020-12-20T00:00:00+00:00,FRC,$169.07,25.29%,$134.94,$221.62,$194.26                                
2020-12-20T00:00:00+00:00,HBI,$15.68,12.29%,$13.62,$21.85,$16.47                                    
2020-12-20T00:00:00+00:00,ALL,$120.83,16.83%,$100.54,$136.66,$119.31                                
